model,dataset,id,input,expected_output,generated_output
flan_t5,factual,fact_0001,The sun is responsible for,"plants sprouting, blooming and wilting",the rotation of the Earth
flan_t5,factual,fact_0002,When standing miles away from Mount Rushmore,the mountains seem smaller than in photographs,you can see the sand dunes and the mountains.
flan_t5,factual,fact_0003,When food is reduced in the stomach,nutrients are being deconstructed,The stomach is empty.
flan_t5,factual,fact_0004,Stars are,great balls of gas burning billions of miles away,stars are a constellation
flan_t5,factual,fact_0005,You can make a telescope with a,mailing tube,telescope
flan_t5,factual,fact_0006,Poison causes harm to which of the following?,a Tree,a person
flan_t5,factual,fact_0007,an inherited characteristic found on all mammals is,fur,a snout
flan_t5,factual,fact_0008,What doesn't eliminate waste?,robots,a landfill
flan_t5,factual,fact_0009,As a car approaches you in the night,the headlights become more intense,you see a man in a black shirt.
flan_t5,factual,fact_0010,"When the weather changes as it does from Christmas to Easter,",the ground may warm,Easter
flan_t5,factual,fact_0011,Using mirrors to focus collected light from heavenly bodies allows,detailed observation,a telescope to see the objects in the sky
flan_t5,factual,fact_0012,Which of these things will supplement a squirrel's caloric needs?,nuts,a snout
flan_t5,factual,fact_0013,As you look deeper into a Marbel you can see,minut defects,a snout
flan_t5,factual,fact_0014,What happens when mercury is placed in water?,it sinks,it dissolves
flan_t5,factual,fact_0015,"In the desert, a hawk may enjoy an occasional",reptile,solitary flight
flan_t5,factual,fact_0016,A magnet will stick to,a belt buckle,a paperclip
flan_t5,factual,fact_0017,Shorter periods of daylight happen,December to March,in the morning
flan_t5,factual,fact_0018,"A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a",northern-directing device,map
flan_t5,factual,fact_0019,Where are you likely to find a nonrenewable resource?,a mine,in the ground
flan_t5,factual,fact_0020,"A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which",provide light due to wiring,the man uses to search for his dog.
flan_t5,factual,fact_0021,the summer solstice is on June 21st in the,upper portion of earth,solstice
flan_t5,factual,fact_0022,"A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because",the owl matches its background,the mouse is unaware.
flan_t5,factual,fact_0023,You would use a seismometer if,A mysterious rumble off the coast of Japan,seismometers are used to measure the temperature of a volcano.
flan_t5,factual,fact_0024,Many animals that give birth to live young have,legs,a uterus
flan_t5,factual,fact_0025,A child will only grow if they are provided with,energy,a lot of food.
flan_t5,factual,fact_0026,"Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to",swell,disappear.
flan_t5,factual,fact_0027,The many trees on a forest floor,"broke, passed, will decay",are a forest floor
flan_t5,factual,fact_0028,"A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds",conflict with the driver's goal,are causing the car to crash.
flan_t5,factual,fact_0029,"a student leaves a nail line on a mineral sample, so that mineral can be described as what?",a soft mineral,a sandstone
flan_t5,factual,fact_0030,"An example of a chemical change is acid breaking down substances, another is",lemon juice added to milk,a chemical reaction
flan_t5,factual,fact_0031,Matter in the gas phase has,fluctuating volume,a kinetic energy
flan_t5,factual,fact_0032,an example of an excellent earth mover is,annelids,a sandbox
flan_t5,factual,fact_0033,Which animal gives birth to live young?,Giraffe,pig
flan_t5,factual,fact_0034,"As a plant's roots get bigger, they split apart",granite,roots become bigger.
flan_t5,factual,fact_0035,"In the wilderness, light pollution is?",less,a constant
flan_t5,factual,fact_0036,Water vapor is an example of what?,moistness,vapor
flan_t5,factual,fact_0037,Heat and moisture in the ocean is a good recipe for,a violent storm,a scuba dive
flan_t5,factual,fact_0038,"if the boiling point of water is attained, what ensues beyond this point?",the water turns evaporates rapidly,a gas
flan_t5,factual,fact_0039,What is the most likely to be an effect of acid rain on an aquatic environment?,decrease in plant life,a decrease in the amount of oxygen in the water
flan_t5,factual,fact_0040,When the moon is full is has a different,appearance,moon orbit
flan_t5,factual,fact_0041,What happens when a hemisphere is tilted away from the sun?,cools,the hemisphere becomes a hemispheric zone
flan_t5,factual,fact_0042,One renewable fuel source is,vegetable oil,renewable energy
flan_t5,factual,fact_0043,I can use electrical energy to,bake a bagel,make a hat
flan_t5,factual,fact_0044,On the list of a flower's goals would be to,produce offspring,grow a flower
flan_t5,factual,fact_0045,"A person wants to buy some reusable equipment for the kitchen, so they get",ceramic plates,a jar of vinegar.
flan_t5,factual,fact_0046,The only stage of the water cycle process that is nonexistent is,evaluation,a septic tank
flan_t5,factual,fact_0047,which of these would more likely survive?,"a lost dog by the river, with small rodents",a savage lion
flan_t5,factual,fact_0048,The moon's surface,contains large cavities cause by explosions,is the surface of the moon
flan_t5,factual,fact_0049,Greenhouses,protect plants from snow and frost,are the building blocks of a building
flan_t5,factual,fact_0050,Earth rotating causes,the cycling of AM and PM,a slant
