model,dataset,id,input,expected_output,generated_output
phi-1_5,factual,fact_0001,The sun is responsible for,"plants sprouting, blooming and wilting",providing light and heat to Earth.
phi-1_5,factual,fact_0002,When standing miles away from Mount Rushmore,the mountains seem smaller than in photographs,The monument is gigantic.
phi-1_5,factual,fact_0003,When food is reduced in the stomach,nutrients are being deconstructed,nutrients are being deconstructed.
phi-1_5,factual,fact_0004,Stars are,great balls of gas burning billions of miles away,shining brightly.
phi-1_5,factual,fact_0005,You can make a telescope with a,mailing tube,Telescope.
phi-1_5,factual,fact_0006,Poison causes harm to which of the following?,a Tree,Living organisms.
phi-1_5,factual,fact_0007,an inherited characteristic found on all mammals is,fur,fur.
phi-1_5,factual,fact_0008,What doesn't eliminate waste?,robots,The human body.
phi-1_5,factual,fact_0009,As a car approaches you in the night,the headlights become more intense,The headlights become more intense.
phi-1_5,factual,fact_0010,"When the weather changes as it does from Christmas to Easter,",the ground may warm,The temperature rises.
phi-1_5,factual,fact_0011,Using mirrors to focus collected light from heavenly bodies allows,detailed observation,astronomers use mirrors.
phi-1_5,factual,fact_0012,Which of these things will supplement a squirrel's caloric needs?,nuts,nuts.
phi-1_5,factual,fact_0013,As you look deeper into a Marbel you can see,minut defects,The intricate patterns and colors of the marble.
phi-1_5,factual,fact_0014,What happens when mercury is placed in water?,it sinks,Mercury turns into a liquid.
phi-1_5,factual,fact_0015,"In the desert, a hawk may enjoy an occasional",reptile,A. prey on small rodents and insects
phi-1_5,factual,fact_0016,A magnet will stick to,a belt buckle,a metal object.
phi-1_5,factual,fact_0017,Shorter periods of daylight happen,December to March,Seasonal changes.
phi-1_5,factual,fact_0018,"A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a",northern-directing device,compass
phi-1_5,factual,fact_0019,Where are you likely to find a nonrenewable resource?,a mine,oil.
phi-1_5,factual,fact_0020,"A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which",provide light due to wiring,provide light to illuminate the path ahead of him as he searches for his lost pet.
phi-1_5,factual,fact_0021,the summer solstice is on June 21st in the,upper portion of earth,true.
